ID,y
1,66.86203002929688
2,78.99242401123047
3,66.01318359375
4,70.41236114501953
5,92.98072052001953
8,82.23008728027344
10,95.1144790649414
11,78.98076629638672
12,101.3375473022461
14,83.25557708740234
15,100.31291961669922
16,85.84519958496094
17,88.43299865722656
19,81.30562591552734
20,91.51554870605469
21,87.17169952392578
22,103.20156860351562
23,89.12242126464844
26,83.6191177368164
28,83.5142822265625
29,89.12242126464844
33,89.12242126464844
35,81.70323944091797
41,88.3199234008789
42,81.25411224365234
43,105.23721313476562
45,90.49250793457031
46,82.8090591430664
51,78.95862579345703
53,69.49068450927734
55,97.751708984375
56,79.59784698486328
57,85.84844207763672
58,80.88346099853516
59,86.20532989501953
63,94.904296875
64,80.95585632324219
65,90.30070495605469
69,83.42740631103516
71,80.47310638427734
72,85.3468246459961
73,78.95832824707031
76,85.61949157714844
77,90.85829162597656
78,101.656494140625
82,79.39593505859375
83,90.30070495605469
84,79.44486236572266
85,85.62211608886719
87,92.95722961425781
88,88.3199234008789
89,100.9149398803711
91,81.13722229003906
93,80.10948181152344
94,91.7357177734375
95,83.26233673095703
96,90.84734344482422
97,81.81474304199219
98,95.39970397949219
99,75.26476287841797
101,88.96438598632812
103,100.9149398803711
104,80.04792022705078
105,92.41719818115234
110,82.2699966430664
111,91.99293518066406
113,95.5641098022461
114,84.98139953613281
115,94.5052261352539
117,100.9149398803711
120,77.99424743652344
121,94.77228546142578
122,83.28287506103516
123,94.89405822753906
126,93.43134307861328
132,98.1268310546875
135,89.71002960205078
137,86.04301452636719
138,80.22905731201172
140,79.17062377929688
142,93.80631256103516
144,94.36270904541016
148,77.74418640136719
149,95.08814239501953
155,83.57859802246094
156,91.55574798583984
157,81.81474304199219
162,95.14738464355469
163,87.8127212524414
167,78.61766052246094
172,105.23721313476562
179,97.85379791259766
180,81.97089385986328
181,94.4459228515625
182,81.7582778930664
183,100.9149398803711
185,100.9149398803711
187,95.00163269042969
188,78.68592834472656
189,78.947265625
191,80.76911163330078
192,100.59609985351562
193,80.73722076416016
